0.005,225.4
0.01,208.0
0.015,249.2
0.02,256.5
0.025,248.8
0.03,250.5
0.035,255.5
0.04,253.4
0.045,277.1
0.05,255.9
0.055,255.5
0.06,254.1
0.065,227.7
0.07,253.0
0.075,239.3
0.08,237.7
0.085,243.2
0.09,254.6
0.095,244.1
0.1,257.9
0.105,249.6
0.11,251.0
0.115,235.1
0.12,240.3
0.125,244.0
0.13,247.6
0.135,236.0
0.14,251.8
0.145,237.5
0.15,243.2
0.155,228.6
0.16,249.7
0.165,237.3
0.17,246.0
0.175,228.5
0.18,250.3
0.185,246.4
0.19,253.9
0.195,242.0
0.2,240.1
0.205,247.8
0.21,249.6
0.215,242.0
0.22,253.0
0.225,254.3
0.23,247.0
0.235,247.1
0.24,249.6
0.245,244.7
0.25,233.1
0.255,158.9
0.26,161.7
0.265,148.2
0.27,149.9
0.275,158.2
0.28,151.7
0.285,148.5
0.29,133.8
0.295,150.3
0.3,149.6
0.305,140.2
0.31,156.1
0.315,135.3
0.32,153.8
0.325,134.7
0.33,151.9
0.335,130.1
0.34,148.5
0.345,156.1
0.35,152.4
0.355,127.9
0.36,115.3
0.365,108.5
0.37,106.2
0.375,107.1
0.38,115.8
0.385,125.5
0.39,123.1
0.395,111.0
0.4,123.7
0.405,118.8
0.41,120.8
0.415,134.6
0.42,134.8
0.425,120.7
0.43,146.9
0.435,148.4
0.44,151.9
0.445,119.1
0.45,152.0
0.455,161.9
0.46,145.9
0.465,159.0
0.47,139.5
0.475,150.2
0.48,157.0
0.485,142.8
0.49,146.1
0.495,147.7
0.5,149.8
0.505,191.4
0.51,194.3
0.515,195.7
0.52,195.6
0.525,173.4
0.53,207.6
0.535,194.4
0.54,190.4
0.545,186.5
0.55,201.3
0.555,192.7
0.56,194.1
0.565,197.2
0.57,189.9
0.575,192.9
0.58,206.4
0.585,200.7
0.59,187.9
0.595,194.3
0.6,205.1
0.605,188.8
0.61,189.6
0.615,192.2
0.62,186.2
0.625,197.3
0.63,205.7
0.635,196.2
0.64,178.9
0.645,178.0
0.65,210.3
0.655,193.6
0.66,157.2
0.665,159.4
0.67,176.5
0.675,188.9
0.68,205.9
0.685,178.0
0.69,192.7
0.695,198.8
0.7,188.8
0.705,192.0
0.71,201.9
0.715,196.6
0.72,198.4
0.725,199.3
0.73,188.9
0.735,200.8
0.74,190.2
0.745,196.6
0.75,201.9
0.755,201.1
0.76,178.6
0.765,164.3
0.77,203.7
0.775,189.9
0.78,182.8
0.785,165.6
0.79,189.3
0.795,206.6
0.8,209.0
0.805,204.9
0.81,207.9
0.815,200.8
0.82,188.1
0.825,201.2
0.83,187.0
0.835,198.9
0.84,192.7
0.845,192.6
0.85,196.7
0.855,191.3
0.86,203.8
0.865,191.2
0.87,196.8
0.875,200.4
0.88,190.9
0.885,196.0
0.89,186.5
0.895,180.0
0.9,186.4
0.905,207.8
0.91,206.9
0.915,202.3
0.92,187.8
0.925,193.5
0.93,201.4
0.935,194.4
0.94,197.8
0.945,189.0
0.95,184.3
0.955,198.4
0.96,204.6
0.965,196.1
0.97,207.6
0.975,205.2
0.98,183.8
0.985,190.1
0.99,184.3
0.995,191.2
